#436158
14		14509.5		744.554		1.667		2.66667	
15		17177.8		745.775		1.112		2.66667	
4		14851.2		745.845		2.082		2.66667	
15		17072.8		745.993		1.135		2.66667	
1		14069.8		746.628		3.27		2.66667	
12		13321.9		746.668		1.062		2.66667	
1		14936.8		746.705		3.125		2.66667	
1		11344.2		746.768		1.235		2.66667	
3		11709.6		746.945		1.005		2.66667	
19		11675.8		747.717		1.381		2.66667	
14		17387.4		748.058		1.334		2.66667	
18		18622.9		748.134		1.779		2.66667	
6		15739.7		748.39		2.399		2.66667	
16		14524.6		748.644		1.389		2.66667	
13		11996.1		749.002		2.112		2.66667	
15		18101.7		749.345		1.185		2.66667	
3		14457.9		749.443		5.196		2.66667	
0		15273		751.667		1.435		2.66667	
8		8990.39		751.874		1.184		2	
15		16220.6		751.943		1.54		2.66667	
15		16220.6		753.484		1.675		2.66667	
20		18881.7		753.638		1.146		2.66667	
16		14352.2		753.691		1.183		2.66667	
8		13903.7		754.094		1.516		2.66667	
14		16588.3		754.131		1.545		2.66667	
18		11162.7		754.57		1.055		2.66667	
18		14115.6		755.163		1.107		2.66667	
10		10246.4		755.525		1.04		2.66667	
14		10140.4		755.772		1.028		2.66667	
10		12359.8		755.838		1.107		2.66667	
4		14733.9		756.237		1.626		2.66667	
5		10936.1		757.001		1.552		2.66667	
9		9645.16		757.731		1.031		2.66667	
10		15118.8		758.47		1.353		2.66667	
11		14517.4		759.011		1.019		2.66667	
19		17991		759.091		1.243		2.66667	
1		9269.91		759.195		2.309		4	
6		9884.79		759.745		1.023		4	
14		12622.3		760.644		1.665		2.66667	
13		11494.4		761.353		1.113		2.66667	
13		14977.6		761.889		1.267		2.66667	
16		18049.7		762.213		1.497		2.66667	
17		15489.1		762.539		1.507		2.66667	
16		16412.1		762.607		1.095		2.66667	
14		18237.9		762.71		1.422		2.66667	
12		13352		762.846		1.401		2.66667	
15		17966.2		763.01		1.102		2.66667	
19		20659.5		763.763		1.02		2.66667	
3		9671.1		764.09		2.349		4	
3		12474.5		764.927		1.081		2.66667	
17		17208.2		765.349		1.276		2.66667	
12		16186.3		765.382		2.71		2.66667	
10		12417.1		765.435		1.13		2.66667	
8		14257		765.773		1.066		2.66667	
17		18379.2		766.025		1.435		2.66667	
16		16925.7		766.412		1.043		2.66667	
9		9661.62		766.992		1.25		2.66667	
14		15414.1		767.265		1.929		2.66667	
2		14256.7		767.714		1.607		2.66667	
17		17438.3		767.912		1.252		2.66667	
3		9650.22		767.945		1.941		2	
2		13335.7		768.14		1.635		2.66667	
9		15144.5		768.151		1.062		2.66667	
13		16382.4		768.511		1.455		2.66667	
2		9409.96		769.659		1.359		2	
4		13695.3		769.772		1.4		2.66667	
18		13654.1		769.898		1.131		2.66667	
4		9966.31		769.918		2.163		2.66667	
17		16683.2		771.2		1.169		2.66667	
20		18547.8		771.438		1.277		2.66667	
12		15973		771.629		1.496		2.66667	
8		11074.8		771.698		1.105		2.66667	
8		11797.1		771.771		1.221		2.66667	
2		11364.6		772.265		2.575		2.66667	
15		18517.2		772.587		1.073		2.66667	
17		16962.2		772.952		1.19		2.66667	
1		14029.7		773.121		1.843		2.66667	
7		11187.4		773.184		1.574		2.66667	
5		14378.4		774.277		1.254		2.66667	
19		20627.6		774.295		2.41		2.66667	
5		10374.6		774.375		2.395		2.66667	
5		10355		774.466		2.271		2.66667	
15		15649.5		774.568		1.366		2.66667	
14		15730.2		775.024		1.056		2.66667	
16		17029.3		775.347		1.094		2.66667	
5		10295.8		775.505		1.922		2.66667	
2		14244.9		775.557		1.979		2.66667	
13		13525.6		775.79		1.739		2.66667	
10		15472.2		775.828		1.038		2.66667	
4		9904.95		775.981		1.593		2	
15		15467.3		776.029		1.706		2.66667	
6		10661.1		776.275		1.659		2.66667	
12		16197.2		776.278		1.432		2.66667	
17		17188.4		776.306		1.286		2.66667	
5		14922.8		776.412		1.453		2.66667	
11		14136.4		776.615		1.339		2.66667	
2		12236.9		776.847		1.327		2.66667	
13		13427.3		777.203		1.465		2.66667	
7		12321.6		777.842		1.102		2.66667	
15		17609		777.939		1.439		2.66667	
13		13963.8		778.005		1.352		2.66667	
13		16232.3		778.221		1.201		2.66667	
1		15236.5		778.256		2.121		2.66667	
16		18744.5		778.326		1.511		2.66667	
4		14775		778.39		1.55		2.66667	
16		13370.1		778.543		1.501		2.66667	
15		12735		778.856		1.052		2.66667	
6		10755.9		778.905		2.065		2.66667	
8		11786.5		779.056		1.939		2.66667	
15		17872.7		779.156		1.407		2.66667	
19		15011.1		780.211		2.102		2.66667	
1		13348		780.408		1.014		2.66667	
14		17947.3		780.51		1.399		2.66667	
4		11070.2		780.611		1.647		2.66667	
10		15745.1		780.674		1.433		2.66667	
1		14074.5		780.748		1.827		2.66667	
6		15412.3		780.831		1.229		2.66667	
5		10195.3		780.906		1.335		2.66667	
6		10812.6		780.96		2.357		2.66667	
15		17488		781.858		1.307		2.66667	
11		13117.7		781.963		1.132		2.66667	
15		17320.7		782.932		1.085		2.66667	
9		11556.7		782.938		1.017		2.66667	
18		13085.2		783.002		1.222		2.66667	
10		15185.4		783.172		1.059		2.66667	
7		11281		783.402		2.143		2.66667	
3		8777.55		784.014		1.287		4	
18		18632.1		784.801		1.218		2.66667	
13		14408.4		785.052		3.279		2.66667	
20		12545.9		785.21		1.728		2.66667	
3		8636.65		785.399		1.93		2	
13		14652.6		785.545		2.049		2.66667	
19		20216.9		785.721		1.776		2.66667	
