         4        38       781       781B   
 E STATE HAS LABEL B   
 VIBRATIONAL LEVELS FOR STATE E IN 1/CM FOR J=  3
     7011.00  0.234443E+10 0.339423E+10 0.406735E+09 0.493209E+09
     7061.00  0.193058E+10 0.355425E+10 0.687987E+09 0.318886E+09
     7111.00  0.153399E+10 0.361762E+10 0.102120E+10 0.167785E+09
     7161.00  0.117027E+10 0.358388E+10 0.138692E+10 0.578626E+08
     7211.00  0.851093E+09 0.345839E+10 0.176330E+10 0.374775E+07
     7261.00  0.583850E+09 0.325162E+10 0.212779E+10 0.155057E+08
     7311.00  0.371618E+09 0.297810E+10 0.245887E+10 0.978460E+08
     7361.00  0.213473E+09 0.265510E+10 0.273754E+10 0.249814E+09
     7411.00  0.105053E+09 0.230129E+10 0.294863E+10 0.464968E+09
     7511.00  0.754151E+07 0.157498E+10 0.313112E+10 0.103569E+10
     7611.00  0.744760E+07 0.928634E+09 0.298445E+10 0.168053E+10
     7711.00  0.341974E+08 0.445578E+09 0.256322E+10 0.225031E+10
     7811.00  0.418068E+08 0.151875E+09 0.197511E+10 0.261878E+10
     7911.00  0.213204E+08 0.226485E+08 0.134657E+10 0.271432E+10
     8011.00  0.249946E+06 0.115319E+07 0.788821E+09 0.253320E+10
     8111.00  0.308168E+08 0.231983E+08 0.373546E+09 0.213297E+10
     8211.00  0.171462E+09 0.393702E+08 0.123145E+09 0.161041E+10
     8311.00  0.467232E+09 0.293503E+08 0.159260E+08 0.107256E+10
     8411.00  0.934239E+09 0.560434E+07 0.228728E+07 0.609292E+09
     8511.00  0.155183E+10 0.687236E+07 0.257300E+08 0.274889E+09
     8611.00  0.226386E+10 0.844061E+08 0.422568E+08 0.818632E+08
     8711.00  0.298818E+10 0.285294E+09 0.331604E+08 0.686836E+07
     8811.00  0.363185E+10 0.637357E+09 0.870210E+07 0.518028E+07
     8911.00  0.410832E+10 0.113920E+10 0.288176E+07 0.285644E+08
     9011.00  0.435302E+10 0.175738E+10 0.617094E+08 0.412691E+08
     9111.00  0.433427E+10 0.243094E+10 0.228662E+09 0.301501E+08
     9211.00  0.405776E+10 0.308182E+10 0.531220E+09 0.701976E+07
     9311.00  0.356416E+10 0.362870E+10 0.971637E+09 0.354757E+07
     9411.00  0.292100E+10 0.400116E+10 0.152381E+10 0.608470E+08
     9511.00  0.221055E+10 0.415160E+10 0.213649E+10 0.216903E+09
     9611.00  0.151633E+10 0.406261E+10 0.274183E+10 0.495120E+09
     9711.00  0.910675E+09 0.374886E+10 0.326710E+10 0.896637E+09
     9811.00  0.445247E+09 0.325351E+10 0.364709E+10 0.139787E+10
     9911.00  0.145860E+09 0.264026E+10 0.383484E+10 0.195353E+10
    10011.00  0.119092E+08 0.198262E+10 0.380875E+10 0.250400E+10
    10111.00  0.199769E+08 0.135258E+10 0.357521E+10 0.298545E+10
    10211.00  0.130495E+09 0.810492E+09 0.316645E+10 0.334040E+10
    10311.00  0.296027E+09 0.397715E+09 0.263447E+10 0.352688E+10
    10411.00  0.469636E+09 0.132985E+09 0.204242E+10 0.352453E+10
    10511.00  0.612002E+09 0.125870E+08 0.145485E+10 0.333687E+10
    10611.00  0.696350E+09 0.139325E+08 0.928718E+09 0.298976E+10
    10711.00  0.710711E+09 0.101544E+09 0.506324E+09 0.252647E+10
    10811.00  0.657544E+09 0.234216E+09 0.211172E+09 0.200057E+10
    10911.00  0.551144E+09 0.372078E+09 0.470420E+08 0.146791E+10
    11011.00  0.413538E+09 0.482467E+09 0.630435E+05 0.978983E+09
    11111.00  0.269729E+09 0.543859E+09 0.431374E+08 0.572839E+09
    11211.00  0.143085E+09 0.547511E+09 0.141756E+09 0.273216E+09
    11311.00  0.515835E+08 0.496858E+09 0.260151E+09 0.872826E+08
    11411.00  0.536569E+07 0.405095E+09 0.366815E+09 0.686597E+07
    11511.00  0.581421E+07 0.291539E+09 0.438612E+09 0.117061E+08
    11611.00  0.461241E+08 0.177517E+09 0.463053E+09 0.740287E+08
    11711.00  0.113122E+09 0.824637E+08 0.438621E+09 0.163614E+09
    11811.00  0.189943E+09 0.208061E+08 0.373338E+09 0.252559E+09
    11911.00  0.259113E+09 0.437802E+03 0.282053E+09 0.319068E+09
    12011.00  0.305555E+09 0.198863E+08 0.182994E+09 0.349824E+09
    12111.00  0.319121E+09 0.733028E+08 0.942323E+08 0.340769E+09
    12211.00  0.296347E+09 0.147746E+09 0.305947E+08 0.296363E+09
    12311.00  0.241222E+09 0.227727E+09 0.144056E+07 0.227610E+09
    12411.00  0.164966E+09 0.297444E+09 0.953820E+07 0.149319E+09
    12511.00  0.848458E+08 0.343370E+09 0.510869E+08 0.770800E+08
    12611.00  0.222561E+08 0.356426E+09 0.116764E+09 0.244592E+08
    12711.00  0.281093E+06 0.333483E+09 0.193545E+09 0.816190E+06
    12811.00  0.410561E+08 0.278040E+09 0.266971E+09 0.999915E+07
    12911.00  0.163212E+09 0.200050E+09 0.323518E+09 0.500292E+08
    13011.00  0.379678E+09 0.114945E+09 0.352727E+09 0.113724E+09
    13111.00  0.696054E+09 0.420090E+08 0.348861E+09 0.190081E+09
    13211.00  0.110970E+10 0.230974E+07 0.311881E+09 0.266166E+09
    13311.00  0.160961E+10 0.164150E+08 0.247685E+09 0.329190E+09
    13411.00  0.217706E+10 0.102152E+09 0.167613E+09 0.368491E+09
    13511.00  0.278691E+10 0.272627E+09 0.873025E+08 0.377157E+09
    13611.00  0.340951E+10 0.534703E+09 0.250724E+08 0.353114E+09
    13711.00  0.401285E+10 0.888055E+09 0.107226E+04 0.299576E+09
    13811.00  0.456496E+10 0.132489E+10 0.299275E+08 0.224847E+09
    13911.00  0.503620E+10 0.183034E+10 0.129568E+09 0.141528E+09
    14011.00  0.540129E+10 0.238343E+10 0.308928E+09 0.652507E+08
    14111.00  0.564101E+10 0.295859E+10 0.572153E+09 0.131040E+08
    14211.00  0.574334E+10 0.352748E+10 0.916903E+09 0.190976E+07
    14311.00  0.570403E+10 0.406108E+10 0.133429E+10 0.465395E+08
    14411.00  0.552670E+10 0.453164E+10 0.180939E+10 0.158419E+09
    14511.00  0.522230E+10 0.491469E+10 0.232223E+10 0.344350E+09
    14611.00  0.480815E+10 0.519051E+10 0.284914E+10 0.605742E+09
    14711.00  0.430670E+10 0.534544E+10 0.336448E+10 0.938304E+09
    14811.00  0.374394E+10 0.537252E+10 0.384237E+10 0.133220E+10
    14911.00  0.314777E+10 0.527177E+10 0.425845E+10 0.177264E+10
    15011.00  0.254639E+10 0.504998E+10 0.459154E+10 0.224087E+10
    15111.00  0.196669E+10 0.471998E+10 0.482494E+10 0.271543E+10
    15211.00  0.143297E+10 0.429968E+10 0.494740E+10 0.317359E+10
    15311.00  0.965818E+09 0.381080E+10 0.495373E+10 0.359286E+10
    15411.00  0.581314E+09 0.327751E+10 0.484494E+10 0.395249E+10
    15511.00  0.290551E+09 0.272489E+10 0.462792E+10 0.423471E+10
    15611.00  0.994483E+08 0.217766E+10 0.431490E+10 0.442589E+10
    15711.00  0.885821E+07 0.165882E+10 0.392246E+10 0.451722E+10
    15811.00  0.149192E+08 0.118863E+10 0.347042E+10 0.450518E+10
    15911.00  0.109617E+09 0.783806E+09 0.298060E+10 0.439159E+10
    16011.00  0.281502E+09 0.456877E+09 0.247551E+10 0.418332E+10
    16111.00  0.516505E+09 0.215947E+09 0.197717E+10 0.389171E+10
    16211.00  0.798815E+09 0.646232E+08 0.150596E+10 0.353176E+10
    16311.00  0.111175E+10 0.219795E+07 0.107976E+10 0.312112E+10
    16411.00  0.143858E+10 0.240308E+08 0.713188E+09 0.267904E+10
    16511.00  0.176330E+10 0.122085E+09 0.417171E+09 0.222525E+10
    16611.00  0.207129E+10 0.285579E+09 0.198679E+09 0.177891E+10
    16711.00  0.234979E+10 0.501707E+09 0.607200E+08 0.135769E+10
    16811.00  0.258836E+10 0.756390E+09 0.251713E+07 0.976988E+09
    16911.00  0.277905E+10 0.103501E+10 0.198542E+08 0.649341E+09
    17011.00  0.291656E+10 0.132311E+10 0.105555E+09 0.384044E+09
    17111.00  0.299818E+10 0.160700E+10 0.250055E+09 0.186959E+09
    17211.00  0.302369E+10 0.187429E+10 0.442027E+09 0.605250E+08
    17311.00  0.299507E+10 0.211432E+10 0.669027E+09 0.392585E+07
    17411.00  0.291622E+10 0.231840E+10 0.918134E+09 0.134071E+08
    17511.00  0.279263E+10 0.248008E+10 0.117654E+10 0.826966E+08
    17611.00  0.263092E+10 0.259511E+10 0.143210E+10 0.203503E+09
    17711.00  0.243852E+10 0.266148E+10 0.167376E+10 0.366053E+09
    17811.00  0.222324E+10 0.267924E+10 0.189194E+10 0.559649E+09
    17911.00  0.199294E+10 0.265029E+10 0.207880E+10 0.773204E+09
    18011.00  0.175522E+10 0.257814E+10 0.222839E+10 0.995742E+09
    18111.00  0.151714E+10 0.246758E+10 0.233676E+10 0.121685E+10
    18211.00  0.128505E+10 0.232438E+10 0.240186E+10 0.142704E+10
    18311.00  0.106441E+10 0.215490E+10 0.242350E+10 0.161806E+10
    18411.00  0.859688E+09 0.196587E+10 0.240317E+10 0.178313E+10
    18511.00  0.674358E+09 0.176401E+10 0.234379E+10 0.191704E+10
    18611.00  0.510865E+09 0.155581E+10 0.224945E+10 0.201622E+10
    18711.00  0.370682E+09 0.134733E+10 0.212516E+10 0.207875E+10
    18811.00  0.254381E+09 0.114399E+10 0.197650E+10 0.210422E+10
    18911.00  0.161720E+09 0.950472E+09 0.180942E+10 0.209365E+10
    19011.00  0.917645E+08 0.770633E+09 0.162988E+10 0.204929E+10
    19111.00  0.430018E+08 0.607468E+09 0.144371E+10 0.197439E+10
    19311.00  0.868349E+06 0.338848E+09 0.107268E+10 0.174974E+10
    19511.00  0.163525E+08 0.152049E+09 0.732871E+09 0.145740E+10
    19711.00  0.687478E+08 0.435335E+08 0.449565E+09 0.113694E+10
    19911.00  0.138500E+09 0.183288E+07 0.236121E+09 0.824004E+09
    20111.00  0.209239E+09 0.108554E+08 0.950501E+08 0.546378E+09
    20311.00  0.268931E+09 0.529489E+08 0.203060E+08 0.322035E+09
    20511.00  0.310211E+09 0.111377E+09 0.593915E+05 0.159026E+09
    20711.00  0.330060E+09 0.172047E+09 0.194821E+08 0.567545E+08
    20911.00  0.329031E+09 0.224477E+09 0.631792E+08 0.809514E+07
    21111.00  0.310207E+09 0.262069E+09 0.117079E+09 0.183977E+07
    21311.00  0.278131E+09 0.281856E+09 0.169706E+09 0.250430E+08
    21511.00  0.237840E+09 0.283875E+09 0.212846E+09 0.649697E+08
    21711.00  0.194111E+09 0.270361E+09 0.241667E+09 0.110496E+09
    21911.00  0.150965E+09 0.244894E+09 0.254415E+09 0.152936E+09
    22111.00  0.111418E+09 0.211613E+09 0.251811E+09 0.186357E+09
    22311.00  0.774275E+08 0.174593E+09 0.236306E+09 0.207498E+09
    22511.00  0.499787E+08 0.137383E+09 0.211308E+09 0.215413E+09
    22711.00  0.292526E+08 0.102748E+09 0.180517E+09 0.210970E+09
    22911.00  0.148233E+08 0.725632E+08 0.147403E+09 0.196281E+09
    23111.00  0.585762E+07 0.478483E+08 0.114870E+09 0.174163E+09
    23311.00  0.129514E+07 0.288855E+08 0.850879E+08 0.147641E+09
    23511.00  0.255809E+03 0.153904E+08 0.594660E+08 0.119563E+09
    23711.00  0.882520E+06 0.669461E+07 0.387128E+08 0.923191E+08
    23911.00  0.298371E+07 0.191694E+07 0.229570E+08 0.676836E+08
    24111.00  0.553173E+07 0.105584E+06 0.118885E+08 0.467693E+08
    24311.00  0.796317E+07 0.343998E+06 0.490067E+07 0.300747E+08
    24511.00  0.991872E+07 0.182115E+07 0.122011E+07 0.175960E+08
    24711.00  0.112175E+08 0.387056E+07 0.171234E+05 0.896852E+07
    24911.00  0.118187E+08 0.598516E+07 0.493052E+06 0.361125E+07
    25111.00  0.117790E+08 0.781437E+07 0.194301E+07 0.848963E+06
    25311.00  0.112121E+08 0.914983E+07 0.379435E+07 0.394854E+04
    25511.00  0.102555E+08 0.990320E+07 0.562250E+07 0.454398E+06
    25711.00  0.904761E+07 0.100803E+08 0.714786E+07 0.166583E+07
    25911.00  0.771281E+07 0.975297E+07 0.821847E+07 0.320385E+07
    26111.00  0.635474E+07 0.903260E+07 0.878461E+07 0.473637E+07
    26311.00  0.505401E+07 0.804561E+07 0.887003E+07 0.603020E+07
    26511.00  0.386907E+07 0.691467E+07 0.854513E+07 0.694465E+07
    26711.00  0.283799E+07 0.574521E+07 0.790391E+07 0.742144E+07
    26911.00  0.198081E+07 0.461864E+07 0.704689E+07 0.747088E+07
 K.E.IE==>     32           33           34           35
        1.00  0.769599E+10 0.155614E+11 0.411137E+11 0.203879E+12
        2.00  0.366971E+11 0.727036E+11 0.185183E+12 0.841287E+12
        3.00  0.837908E+11 0.162528E+12 0.398442E+12 0.165108E+13
        4.00  0.140459E+12 0.266519E+12 0.627701E+12 0.236024E+13
        5.00  0.198100E+12 0.367374E+12 0.829493E+12 0.281261E+13
        6.00  0.250098E+12 0.452832E+12 0.977877E+12 0.296750E+13
        7.00  0.292381E+12 0.516284E+12 0.106339E+13 0.286134E+13
        8.00  0.323186E+12 0.555846E+12 0.108855E+13 0.256709E+13
        9.00  0.342445E+12 0.572847E+12 0.106273E+13 0.216421E+13
       10.00  0.351126E+12 0.570377E+12 0.998089E+12 0.172153E+13
       11.00  0.350708E+12 0.552215E+12 0.906805E+12 0.129070E+13
       12.00  0.342833E+12 0.522165E+12 0.799729E+12 0.905776E+12
       13.00  0.329103E+12 0.483710E+12 0.685808E+12 0.585915E+12
       14.00  0.310987E+12 0.439869E+12 0.572016E+12 0.338828E+12
       15.00  0.289772E+12 0.393156E+12 0.463516E+12 0.164142E+12
       16.00  0.266558E+12 0.345601E+12 0.363908E+12 0.562188E+11
       17.00  0.242260E+12 0.298792E+12 0.275503E+12 0.634629E+10
       18.00  0.217627E+12 0.253937E+12 0.199584E+12 0.436871E+10
       19.00  0.193254E+12 0.211914E+12 0.136641E+12 0.398235E+11
       20.00  0.169609E+12 0.173333E+12 0.865653E+11 0.102694E+12
       21.00  0.147048E+12 0.138584E+12 0.488195E+11 0.183872E+12
       22.00  0.125836E+12 0.107883E+12 0.225674E+11 0.275398E+12
       23.00  0.106162E+12 0.813060E+11 0.677783E+10 0.370570E+12
       24.00  0.881511E+11 0.588232E+11 0.305421E+09 0.463933E+12
       25.00  0.718798E+11 0.403214E+11 0.195131E+10 0.551222E+12
       26.00  0.573818E+11 0.256261E+11 0.105093E+11 0.629261E+12
       27.00  0.446575E+11 0.145169E+11 0.248001E+11 0.695838E+12
       28.00  0.336803E+11 0.674154E+10 0.436960E+11 0.749581E+12
       29.00  0.244021E+11 0.202648E+10 0.661389E+11 0.789824E+12
       30.00  0.167580E+11 0.859680E+08 0.911516E+11 0.816485E+12
       31.00  0.106698E+11 0.629144E+09 0.117845E+12 0.829952E+12
       32.00  0.604978E+10 0.336575E+10 0.145422E+12 0.830972E+12
       33.00  0.280312E+10 0.801071E+10 0.173178E+12 0.820566E+12
       34.00  0.830366E+09 0.142876E+11 0.200497E+12 0.799942E+12
       35.00  0.293639E+08 0.219315E+11 0.226855E+12 0.770430E+12
       36.00  0.296809E+09 0.306906E+11 0.251806E+12 0.733420E+12
       37.00  0.152957E+10 0.403280E+11 0.274988E+12 0.690319E+12
       38.00  0.362578E+10 0.506226E+11 0.296108E+12 0.642510E+12
       39.00  0.648565E+10 0.613694E+11 0.314942E+12 0.591320E+12
       40.00  0.100122E+11 0.723802E+11 0.331328E+12 0.538001E+12
       42.00  0.186951E+11 0.945238E+11 0.356377E+12 0.429498E+12
       44.00  0.289739E+11 0.115877E+12 0.370969E+12 0.324934E+12
       46.00  0.402189E+11 0.135516E+12 0.375447E+12 0.230380E+12
       48.00  0.518768E+11 0.152751E+12 0.370621E+12 0.150056E+12
       50.00  0.634719E+11 0.167103E+12 0.357624E+12 0.864725E+11
       52.00  0.746054E+11 0.178279E+12 0.337791E+12 0.406554E+11
       54.00  0.849520E+11 0.186146E+12 0.312556E+12 0.124118E+11
       56.00  0.942554E+11 0.190705E+12 0.283373E+12 0.599846E+09
       58.00  0.102323E+12 0.192066E+12 0.251646E+12 0.338966E+10
       60.00  0.109021E+12 0.190430E+12 0.218688E+12 0.184995E+11
       62.00  0.114268E+12 0.186063E+12 0.185683E+12 0.434012E+11
       64.00  0.118027E+12 0.179282E+12 0.153664E+12 0.754919E+11
       66.00  0.120305E+12 0.170436E+12 0.123500E+12 0.112232E+12
       68.00  0.121142E+12 0.159892E+12 0.958909E+11 0.151252E+12
       70.00  0.120606E+12 0.148023E+12 0.713679E+11 0.190426E+12
       72.00  0.118789E+12 0.135198E+12 0.503034E+11 0.227924E+12
       74.00  0.115803E+12 0.121768E+12 0.329200E+11 0.262237E+12
       76.00  0.111772E+12 0.108068E+12 0.193056E+11 0.292183E+12
       78.00  0.106830E+12 0.944028E+11 0.942899E+10 0.316906E+12
       80.00  0.101117E+12 0.810496E+11 0.315660E+10 0.335851E+12
       82.00  0.947763E+11 0.682515E+11 0.269854E+09 0.348744E+12
       84.00  0.879494E+11 0.562177E+11 0.481962E+09 0.355557E+12
       86.00  0.807766E+11 0.451222E+11 0.345424E+10 0.356472E+12
       88.00  0.733924E+11 0.351043E+11 0.881141E+10 0.351849E+12
       90.00  0.659250E+11 0.262694E+11 0.161558E+11 0.342186E+12
       92.00  0.584941E+11 0.186901E+11 0.250800E+11 0.328084E+12
       94.00  0.512097E+11 0.124087E+11 0.351783E+11 0.310217E+12
       96.00  0.441717E+11 0.743885E+10 0.460565E+11 0.289298E+12
       98.00  0.374688E+11 0.376870E+10 0.573397E+11 0.266054E+12
      100.00  0.311784E+11 0.136328E+10 0.686795E+11 0.241205E+12
      102.00  0.253663E+11 0.167569E+09 0.797588E+11 0.215441E+12
      104.00  0.200867E+11 0.109302E+09 0.902957E+11 0.189410E+12
      106.00  0.153825E+11 0.110190E+10 0.100046E+12 0.163701E+12
      108.00  0.112858E+11 0.304726E+10 0.108806E+12 0.138841E+12
      110.00  0.781792E+10 0.583849E+10 0.116409E+12 0.115285E+12
      112.00  0.499040E+10 0.936242E+10 0.122732E+12 0.934140E+11
      114.00  0.280535E+10 0.135021E+11 0.127686E+12 0.735328E+11
      116.00  0.125625E+10 0.181391E+11 0.131221E+12 0.558725E+11
      118.00  0.328692E+09 0.231552E+11 0.133320E+12 0.405924E+11
      122.00  0.245810E+09 0.338661E+11 0.133296E+12 0.174767E+11
      126.00  0.231380E+10 0.447646E+11 0.128049E+12 0.420524E+10
      130.00  0.621492E+10 0.550834E+11 0.118353E+12 0.478580E+06
      134.00  0.115817E+11 0.641865E+11 0.105215E+12 0.350729E+10
      138.00  0.180201E+11 0.715858E+11 0.897671E+11 0.130101E+11
      142.00  0.251306E+11 0.769467E+11 0.731718E+11 0.266315E+11
      146.00  0.325258E+11 0.800849E+11 0.565451E+11 0.425021E+11
      150.00  0.398456E+11 0.809569E+11 0.408904E+11 0.588944E+11
      154.00  0.467687E+11 0.796435E+11 0.270533E+11 0.743205E+11
      158.00  0.530209E+11 0.763308E+11 0.156919E+11 0.875938E+11
      162.00  0.583802E+11 0.712880E+11 0.726250E+10 0.978583E+11
      166.00  0.626798E+11 0.648452E+11 0.201923E+10 0.104590E+12
      170.00  0.658079E+11 0.573709E+11 0.246605E+08 0.107579E+12
      174.00  0.677058E+11 0.492517E+11 0.116874E+10 0.106890E+12
      178.00  0.683647E+11 0.408730E+11 0.519406E+10 0.102820E+12
      182.00  0.678207E+11 0.326029E+11 0.117250E+11 0.958438E+11
      186.00  0.661488E+11 0.247784E+11 0.202988E+11 0.865600E+11
      190.00  0.634569E+11 0.176941E+11 0.303964E+11 0.756396E+11
      194.00  0.598781E+11 0.115953E+11 0.414726E+11 0.637773E+11
      198.00  0.555645E+11 0.667215E+10 0.529826E+11 0.516498E+11
      202.00  0.506801E+11 0.305780E+10 0.644060E+11 0.398815E+11
      206.00  0.453944E+11 0.828491E+09 0.752663E+11 0.290185E+11
      210.00  0.398766E+11 0.569595E+07 0.851460E+11 0.195094E+11
      214.00  0.342906E+11 0.560000E+09 0.936982E+11 0.116948E+11
      218.00  0.287904E+11 0.241640E+10 0.100653E+12 0.580316E+10
      222.00  0.235161E+11 0.546060E+10 0.105823E+12 0.195256E+10
      226.00  0.185913E+11 0.954605E+10 0.109097E+12 0.157349E+09
      230.00  0.141208E+11 0.145013E+11 0.110443E+12 0.338960E+09
      234.00  0.101890E+11 0.201376E+11 0.109900E+12 0.233935E+10
      238.00  0.685956E+10 0.262559E+11 0.107569E+12 0.593629E+10
      242.00  0.417490E+10 0.326541E+11 0.103602E+12 0.108595E+11
      246.00  0.215712E+10 0.391334E+11 0.981982E+11 0.168069E+11
      250.00  0.808866E+09 0.455034E+11 0.915855E+11 0.234599E+11
      254.00  0.114874E+09 0.515879E+11 0.840154E+11 0.304981E+11
      258.00  0.437383E+08 0.572281E+11 0.757508E+11 0.376118E+11
      262.00  0.549992E+09 0.622864E+11 0.670564E+11 0.445127E+11
      266.00  0.157636E+10 0.666482E+11 0.581905E+11 0.509431E+11
      270.00  0.305611E+10 0.702237E+11 0.493971E+11 0.566822E+11
      274.00  0.491545E+10 0.729486E+11 0.408995E+11 0.615509E+11
      282.00  0.945666E+10 0.757134E+11 0.255537E+11 0.681812E+11
      290.00  0.145561E+11 0.749123E+11 0.133686E+11 0.702823E+11
      298.00  0.195960E+11 0.708506E+11 0.503786E+10 0.679548E+11
      306.00  0.240377E+11 0.640956E+11 0.741471E+09 0.618293E+11
      314.00  0.274603E+11 0.553887E+11 0.209167E+09 0.529013E+11
      322.00  0.295830E+11 0.455551E+11 0.282045E+10 0.423548E+11
      330.00  0.302724E+11 0.354195E+11 0.772430E+10 0.313956E+11
      338.00  0.295370E+11 0.257348E+11 0.139620E+11 0.211138E+11
      346.00  0.275101E+11 0.171271E+11 0.205800E+11 0.123837E+11
      354.00  0.244257E+11 0.100610E+11 0.267235E+11 0.580532E+10
      362.00  0.205895E+11 0.482212E+10 0.317056E+11 0.168417E+10
      370.00  0.163479E+11 0.151724E+10 0.350492E+11 0.452757E+08
      378.00  0.120574E+11 0.892920E+08 0.365028E+11 0.672611E+09
      386.00  0.805730E+10 0.342847E+09 0.360331E+11 0.316566E+10
      394.00  0.464656E+10 0.197717E+10 0.337990E+11 0.700423E+10
      402.00  0.206592E+10 0.462287E+10 0.301128E+11 0.116139E+11
      410.00  0.486258E+09 0.787882E+10 0.253931E+11 0.164257E+11
      418.00  0.263778E+07 0.113467E+11 0.201154E+11 0.209262E+11
      426.00  0.634065E+09 0.146606E+11 0.147649E+11 0.246949E+11
      434.00  0.232814E+10 0.175109E+11 0.979424E+10 0.274269E+11
      442.00  0.496973E+10 0.196606E+11 0.558991E+10 0.289435E+11
      450.00  0.839268E+10 0.209548E+11 0.244777E+10 0.291899E+11
      458.00  0.123934E+11 0.213230E+11 0.558871E+09 0.282233E+11
      466.00  0.167454E+11 0.207755E+11 0.491532E+07 0.261939E+11
      474.00  0.212139E+11 0.193945E+11 0.762354E+09 0.233213E+11
      482.00  0.255691E+11 0.173218E+11 0.271377E+10 0.198685E+11
      490.00  0.295987E+11 0.147431E+11 0.566470E+10 0.161170E+11
      498.00  0.331174E+11 0.118714E+11 0.936404E+10 0.123425E+11
      506.00  0.359748E+11 0.893091E+10 0.135261E+11 0.879617E+10
      514.00  0.380604E+11 0.614100E+10 0.178525E+11 0.568874E+10
      522.00  0.393061E+11 0.370262E+10 0.220532E+11 0.318020E+10
      530.00  0.396865E+11 0.178685E+10 0.258641E+11 0.137422E+10
      538.00  0.392169E+11 0.526388E+09 0.290614E+11 0.317179E+09
      546.00  0.379493E+11 0.100637E+08 0.314727E+11 0.112465E+07
      554.00  0.359674E+11 0.280357E+09 0.329829E+11 0.370109E+09
      562.00  0.333802E+11 0.133379E+10 0.335366E+11 0.132883E+10
      570.00  0.303147E+11 0.312382E+10 0.331364E+11 0.275284E+10
      578.00  0.269093E+11 0.556589E+10 0.318388E+11 0.449935E+10
      586.00  0.233065E+11 0.854403E+10 0.297462E+11 0.641806E+10
      596.00  0.187378E+11 0.128064E+11 0.262275E+11 0.883435E+10
      606.00  0.143321E+11 0.173836E+11 0.220142E+11 0.110275E+11
      616.00  0.103076E+11 0.219608E+11 0.174650E+11 0.127838E+11
      626.00  0.683609E+10 0.262359E+11 0.129383E+11 0.139513E+11
      636.00  0.403717E+10 0.299408E+11 0.876285E+10 0.144473E+11
      646.00  0.197530E+10 0.328576E+11 0.521542E+10 0.142575E+11
      656.00  0.661638E+09 0.348303E+11 0.250386E+10 0.134304E+11
      666.00  0.588917E+08 0.357709E+11 0.757836E+09 0.120669E+11
      676.00  0.888458E+08 0.356598E+11 0.262638E+08 0.103066E+11
      686.00  0.641733E+09 0.345424E+11 0.281053E+09 0.831251E+10
      696.00  0.158663E+10 0.325207E+11 0.142611E+10 0.625617E+10
      706.00  0.278213E+10 0.297426E+11 0.331030E+10 0.430303E+10
      716.00  0.408652E+10 0.263893E+11 0.574292E+10 0.260034E+10
      726.00  0.536703E+10 0.226616E+11 0.851042E+10 0.126752E+10
      736.00  0.650754E+10 0.187662E+11 0.113930E+11 0.389590E+09
      746.00  0.741451E+10 0.149028E+11 0.141798E+11 0.137323E+08
      756.00  0.802096E+10 0.112531E+11 0.166823E+11 0.148937E+09
      766.00  0.828850E+10 0.797184E+10 0.187445E+11 0.768323E+09
      776.00  0.820734E+10 0.518025E+10 0.202500E+11 0.181371E+10
      786.00  0.779472E+10 0.296203E+10 0.211262E+11 0.320187E+10
      796.00  0.709179E+10 0.136196E+10 0.213452E+11 0.483186E+10
      806.00  0.615937E+10 0.386884E+09 0.209211E+11 0.659285E+10
      816.00  0.507291E+10 0.874558E+07 0.199062E+11 0.837185E+10
      826.00  0.391703E+10 0.169301E+09 0.183839E+11 0.100609E+11
      836.00  0.277987E+10 0.786132E+09 0.164614E+11 0.115634E+11
      846.00  0.174776E+10 0.175942E+10 0.142610E+11 0.127988E+11
      856.00  0.900319E+09 0.297907E+10 0.119117E+11 0.137066E+11
      866.00  0.306249E+09 0.433173E+10 0.954102E+10 0.142480E+11
      876.00  0.199811E+08 0.570736E+10 0.726795E+10 0.144067E+11
      886.00  0.793038E+08 0.700502E+10 0.519649E+10 0.141884E+11
      896.00  0.503982E+09 0.813768E+10 0.341121E+10 0.136184E+11
      906.00  0.129538E+10 0.903576E+10 0.197402E+10 0.127388E+11
      916.00  0.243701E+10 0.964959E+10 0.922642E+09 0.116053E+11
      926.00  0.389591E+10 0.995041E+10 0.270512E+09 0.102826E+11
      936.00  0.562479E+10 0.993035E+10 0.807719E+07 0.884067E+10
      946.00  0.756460E+10 0.960126E+10 0.105233E+09 0.735036E+10
      956.00  0.964767E+10 0.899258E+10 0.514672E+09 0.587974E+10
      966.00  0.118009E+11 0.814854E+10 0.117588E+10 0.449070E+10
      976.00  0.139491E+11 0.712479E+10 0.201952E+10 0.323622E+10
      986.00  0.160183E+11 0.598470E+10 0.297188E+10 0.215838E+10
      996.00  0.179387E+11 0.479560E+10 0.395922E+10 0.128704E+10
     1006.00  0.196472E+11 0.362505E+10 0.491176E+10 0.639352E+09
     1016.00  0.210898E+11 0.253743E+10 0.576712E+10 0.219906E+09
     1026.00  0.222232E+11 0.159084E+10 0.647314E+10 0.215273E+08
     1036.00  0.230163E+11 0.834597E+09 0.698991E+10 0.266155E+08
     1046.00  0.234503E+11 0.307277E+09 0.729109E+10 0.208895E+09
     1056.00  0.235194E+11 0.353784E+08 0.736438E+10 0.535461E+09
     1066.00  0.232300E+11 0.326568E+08 0.721130E+10 0.968986E+09
     1076.00  0.226001E+11 0.300075E+09 0.684629E+10 0.146997E+10
