         4        38       781       781B   
 E STATE HAS LABEL B   
 VIBRATIONAL LEVELS FOR STATE E IN 1/CM FOR J=  3
       42.00  0.159519E+04 0.173517E+05 0.221374E+07 0.565048E+08
       44.00  0.160972E+04 0.173738E+05 0.224119E+07 0.569326E+08
       46.00  0.162256E+04 0.173758E+05 0.226641E+07 0.572984E+08
       48.00  0.163388E+04 0.173602E+05 0.228963E+07 0.576097E+08
       50.00  0.164387E+04 0.173290E+05 0.231109E+07 0.578725E+08
       52.00  0.165267E+04 0.172843E+05 0.233097E+07 0.580924E+08
       54.00  0.166041E+04 0.172277E+05 0.234943E+07 0.582740E+08
       56.00  0.166719E+04 0.171604E+05 0.236661E+07 0.584209E+08
       58.00  0.167309E+04 0.170836E+05 0.238262E+07 0.585365E+08
       60.00  0.167819E+04 0.169983E+05 0.239755E+07 0.586234E+08
       62.00  0.168257E+04 0.169053E+05 0.241148E+07 0.586841E+08
       64.00  0.168627E+04 0.168054E+05 0.242450E+07 0.587208E+08
       66.00  0.168935E+04 0.166994E+05 0.243667E+07 0.587357E+08
       68.00  0.169187E+04 0.165879E+05 0.244807E+07 0.587306E+08
       70.00  0.169388E+04 0.164716E+05 0.245876E+07 0.587073E+08
       72.00  0.169542E+04 0.163510E+05 0.246879E+07 0.586675E+08
       74.00  0.169654E+04 0.162265E+05 0.247821E+07 0.586126E+08
       76.00  0.169725E+04 0.160987E+05 0.248708E+07 0.585439E+08
       78.00  0.169760E+04 0.159678E+05 0.249542E+07 0.584623E+08
       80.00  0.169760E+04 0.158342E+05 0.250327E+07 0.583688E+08
       82.00  0.169729E+04 0.156982E+05 0.251065E+07 0.582642E+08
       84.00  0.169667E+04 0.155601E+05 0.251760E+07 0.581493E+08
       86.00  0.169578E+04 0.154200E+05 0.252413E+07 0.580247E+08
       88.00  0.169462E+04 0.152782E+05 0.253027E+07 0.578912E+08
       90.00  0.169321E+04 0.151349E+05 0.253604E+07 0.577493E+08
       92.00  0.169158E+04 0.149904E+05 0.254147E+07 0.575998E+08
       94.00  0.168974E+04 0.148448E+05 0.254657E+07 0.574432E+08
       96.00  0.168771E+04 0.146984E+05 0.255138E+07 0.572801E+08
       98.00  0.168549E+04 0.145512E+05 0.255590E+07 0.571111E+08
      100.00  0.168311E+04 0.144035E+05 0.256015E+07 0.569365E+08
      102.00  0.168057E+04 0.142553E+05 0.256415E+07 0.567568E+08
      104.00  0.167788E+04 0.141069E+05 0.256791E+07 0.565724E+08
      106.00  0.167506E+04 0.139582E+05 0.257145E+07 0.563836E+08
      108.00  0.167210E+04 0.138093E+05 0.257477E+07 0.561906E+08
      110.00  0.166902E+04 0.136605E+05 0.257787E+07 0.559937E+08
      112.00  0.166583E+04 0.135116E+05 0.258078E+07 0.557931E+08
      114.00  0.166252E+04 0.133629E+05 0.258350E+07 0.555891E+08
      116.00  0.165911E+04 0.132144E+05 0.258603E+07 0.553820E+08
      118.00  0.165561E+04 0.130661E+05 0.258839E+07 0.551719E+08
      122.00  0.164834E+04 0.127706E+05 0.259263E+07 0.547440E+08
      126.00  0.164076E+04 0.124769E+05 0.259627E+07 0.543072E+08
      130.00  0.163291E+04 0.121856E+05 0.259940E+07 0.538631E+08
      134.00  0.162484E+04 0.118968E+05 0.260204E+07 0.534128E+08
      138.00  0.161656E+04 0.116108E+05 0.260423E+07 0.529574E+08
      142.00  0.160810E+04 0.113279E+05 0.260601E+07 0.524974E+08
      146.00  0.159947E+04 0.110482E+05 0.260739E+07 0.520337E+08
      150.00  0.159070E+04 0.107720E+05 0.260840E+07 0.515670E+08
      154.00  0.158181E+04 0.104992E+05 0.260908E+07 0.510980E+08
      158.00  0.157281E+04 0.102302E+05 0.260946E+07 0.506273E+08
      162.00  0.156372E+04 0.996502E+04 0.260955E+07 0.501555E+08
      166.00  0.155456E+04 0.970372E+04 0.260937E+07 0.496832E+08
      170.00  0.154534E+04 0.944638E+04 0.260895E+07 0.492106E+08
      174.00  0.153605E+04 0.919301E+04 0.260828E+07 0.487379E+08
      178.00  0.152672E+04 0.894365E+04 0.260737E+07 0.482654E+08
      182.00  0.151733E+04 0.869832E+04 0.260624E+07 0.477933E+08
      186.00  0.150791E+04 0.845704E+04 0.260489E+07 0.473218E+08
      190.00  0.149846E+04 0.821983E+04 0.260334E+07 0.468512E+08
      194.00  0.148898E+04 0.798671E+04 0.260160E+07 0.463818E+08
      198.00  0.147949E+04 0.775771E+04 0.259968E+07 0.459138E+08
      202.00  0.146998E+04 0.753280E+04 0.259758E+07 0.454474E+08
      206.00  0.146047E+04 0.731197E+04 0.259532E+07 0.449827E+08
      210.00  0.145095E+04 0.709522E+04 0.259289E+07 0.445197E+08
      214.00  0.144142E+04 0.688250E+04 0.259030E+07 0.440585E+08
      218.00  0.143190E+04 0.667381E+04 0.258755E+07 0.435992E+08
      222.00  0.142237E+04 0.646911E+04 0.258464E+07 0.431419E+08
      226.00  0.141285E+04 0.626840E+04 0.258159E+07 0.426867E+08
      230.00  0.140334E+04 0.607166E+04 0.257840E+07 0.422338E+08
      234.00  0.139384E+04 0.587886E+04 0.257507E+07 0.417832E+08
      238.00  0.138436E+04 0.568998E+04 0.257162E+07 0.413351E+08
      242.00  0.137490E+04 0.550500E+04 0.256804E+07 0.408896E+08
      246.00  0.136545E+04 0.532387E+04 0.256435E+07 0.404467E+08
      250.00  0.135603E+04 0.514657E+04 0.256054E+07 0.400064E+08
      254.00  0.134663E+04 0.497305E+04 0.255661E+07 0.395687E+08
      258.00  0.133726E+04 0.480329E+04 0.255257E+07 0.391338E+08
      262.00  0.132791E+04 0.463724E+04 0.254842E+07 0.387016E+08
      266.00  0.131858E+04 0.447487E+04 0.254416E+07 0.382721E+08
      270.00  0.130929E+04 0.431615E+04 0.253980E+07 0.378455E+08
      274.00  0.130003E+04 0.416104E+04 0.253535E+07 0.374219E+08
      282.00  0.128161E+04 0.386153E+04 0.252617E+07 0.365835E+08
      290.00  0.126334E+04 0.357602E+04 0.251664E+07 0.357572E+08
      298.00  0.124521E+04 0.330419E+04 0.250679E+07 0.349430E+08
      306.00  0.122724E+04 0.304570E+04 0.249661E+07 0.341410E+08
      314.00  0.120942E+04 0.280024E+04 0.248613E+07 0.333513E+08
      322.00  0.119177E+04 0.256750E+04 0.247536E+07 0.325738E+08
      330.00  0.117429E+04 0.234714E+04 0.246432E+07 0.318088E+08
      338.00  0.115697E+04 0.213887E+04 0.245302E+07 0.310561E+08
      346.00  0.113983E+04 0.194234E+04 0.244146E+07 0.303157E+08
      354.00  0.112285E+04 0.175725E+04 0.242965E+07 0.295874E+08
      362.00  0.110604E+04 0.158327E+04 0.241759E+07 0.288712E+08
      370.00  0.108940E+04 0.142012E+04 0.240530E+07 0.281670E+08
      378.00  0.107293E+04 0.126749E+04 0.239278E+07 0.274748E+08
      386.00  0.105663E+04 0.112509E+04 0.238005E+07 0.267945E+08
      394.00  0.104050E+04 0.992613E+03 0.236710E+07 0.261261E+08
      402.00  0.102455E+04 0.869784E+03 0.235395E+07 0.254693E+08
      410.00  0.100876E+04 0.756315E+03 0.234060E+07 0.248241E+08
      418.00  0.993139E+03 0.651931E+03 0.232705E+07 0.241904E+08
      426.00  0.977692E+03 0.556359E+03 0.231332E+07 0.235681E+08
      434.00  0.962418E+03 0.469333E+03 0.229942E+07 0.229572E+08
      442.00  0.947317E+03 0.390588E+03 0.228536E+07 0.223577E+08
      450.00  0.932389E+03 0.319864E+03 0.227114E+07 0.217693E+08
      458.00  0.917633E+03 0.256907E+03 0.225677E+07 0.211921E+08
      466.00  0.903048E+03 0.201466E+03 0.224225E+07 0.206257E+08
      474.00  0.888634E+03 0.153296E+03 0.222760E+07 0.200703E+08
      482.00  0.874392E+03 0.112157E+03 0.221282E+07 0.195256E+08
      490.00  0.860322E+03 0.778132E+02 0.219792E+07 0.189917E+08
      498.00  0.846425E+03 0.500331E+02 0.218291E+07 0.184683E+08
      506.00  0.832697E+03 0.285900E+02 0.216779E+07 0.179554E+08
      514.00  0.819139E+03 0.132619E+02 0.215257E+07 0.174528E+08
      522.00  0.805747E+03 0.383164E+01 0.213725E+07 0.169603E+08
      530.00  0.792522E+03 0.865067E-01 0.212183E+07 0.164779E+08
      538.00  0.779461E+03 0.181835E+01 0.210632E+07 0.160055E+08
      546.00  0.766565E+03 0.882345E+01 0.209073E+07 0.155428E+08
      554.00  0.753833E+03 0.209025E+02 0.207506E+07 0.150899E+08
      562.00  0.741263E+03 0.378605E+02 0.205932E+07 0.146465E+08
      570.00  0.728853E+03 0.595068E+02 0.204350E+07 0.142125E+08
      578.00  0.716601E+03 0.856545E+02 0.202762E+07 0.137878E+08
      586.00  0.704505E+03 0.116121E+03 0.201167E+07 0.133722E+08
      596.00  0.689604E+03 0.160006E+03 0.199164E+07 0.128655E+08
      606.00  0.674943E+03 0.210021E+03 0.197153E+07 0.123726E+08
      616.00  0.660523E+03 0.265835E+03 0.195134E+07 0.118934E+08
      626.00  0.646339E+03 0.327128E+03 0.193109E+07 0.114276E+08
      636.00  0.632389E+03 0.393588E+03 0.191077E+07 0.109750E+08
      646.00  0.618671E+03 0.464911E+03 0.189040E+07 0.105353E+08
      656.00  0.605182E+03 0.540803E+03 0.186998E+07 0.101083E+08
      666.00  0.591920E+03 0.620980E+03 0.184952E+07 0.969380E+07
      676.00  0.578885E+03 0.705166E+03 0.182903E+07 0.929155E+07
      686.00  0.566073E+03 0.793095E+03 0.180853E+07 0.890136E+07
      696.00  0.553483E+03 0.884507E+03 0.178802E+07 0.852298E+07
      706.00  0.541113E+03 0.979151E+03 0.176750E+07 0.815618E+07
      716.00  0.528959E+03 0.107678E+04 0.174699E+07 0.780074E+07
      726.00  0.517019E+03 0.117717E+04 0.172648E+07 0.745643E+07
      736.00  0.505291E+03 0.128008E+04 0.170599E+07 0.712303E+07
      746.00  0.493773E+03 0.138530E+04 0.168553E+07 0.680033E+07
      756.00  0.482462E+03 0.149262E+04 0.166509E+07 0.648812E+07
      766.00  0.471357E+03 0.160183E+04 0.164470E+07 0.618616E+07
      776.00  0.460454E+03 0.171273E+04 0.162434E+07 0.589425E+07
      786.00  0.449750E+03 0.182513E+04 0.160403E+07 0.561215E+07
      796.00  0.439242E+03 0.193884E+04 0.158377E+07 0.533967E+07
      806.00  0.428929E+03 0.205368E+04 0.156357E+07 0.507658E+07
      816.00  0.418808E+03 0.216949E+04 0.154343E+07 0.482269E+07
      826.00  0.408876E+03 0.228610E+04 0.152335E+07 0.457780E+07
      836.00  0.399131E+03 0.240334E+04 0.150334E+07 0.434169E+07
      846.00  0.389570E+03 0.252107E+04 0.148342E+07 0.411418E+07
      856.00  0.380191E+03 0.263913E+04 0.146357E+07 0.389505E+07
      866.00  0.370991E+03 0.275738E+04 0.144380E+07 0.368412E+07
      876.00  0.361967E+03 0.287568E+04 0.142412E+07 0.348118E+07
      886.00  0.353118E+03 0.299391E+04 0.140453E+07 0.328607E+07
      896.00  0.344441E+03 0.311193E+04 0.138504E+07 0.309858E+07
      906.00  0.335935E+03 0.322963E+04 0.136565E+07 0.291853E+07
      916.00  0.327596E+03 0.334690E+04 0.134637E+07 0.274575E+07
      926.00  0.319422E+03 0.346362E+04 0.132719E+07 0.258006E+07
      936.00  0.311411E+03 0.357969E+04 0.130813E+07 0.242126E+07
      946.00  0.303561E+03 0.369499E+04 0.128918E+07 0.226920E+07
      956.00  0.295868E+03 0.380945E+04 0.127035E+07 0.212369E+07
      966.00  0.288332E+03 0.392297E+04 0.125164E+07 0.198456E+07
      976.00  0.280950E+03 0.403546E+04 0.123306E+07 0.185166E+07
      986.00  0.273719E+03 0.414684E+04 0.121461E+07 0.172482E+07
      996.00  0.266638E+03 0.425703E+04 0.119629E+07 0.160387E+07
     1006.00  0.259703E+03 0.436596E+04 0.117811E+07 0.148864E+07
     1016.00  0.252914E+03 0.447356E+04 0.116006E+07 0.137900E+07
     1026.00  0.246266E+03 0.457974E+04 0.114215E+07 0.127477E+07
     1036.00  0.239759E+03 0.468446E+04 0.112438E+07 0.117581E+07
     1046.00  0.233390E+03 0.478765E+04 0.110675E+07 0.108196E+07
     1056.00  0.227157E+03 0.488925E+04 0.108927E+07 0.993082E+06
     1066.00  0.221057E+03 0.498921E+04 0.107193E+07 0.909029E+06
     1076.00  0.215089E+03 0.508748E+04 0.105474E+07 0.829657E+06
     1086.00  0.209251E+03 0.518402E+04 0.103771E+07 0.754826E+06
     1096.00  0.203539E+03 0.527878E+04 0.102082E+07 0.684400E+06
     1106.00  0.197953E+03 0.537171E+04 0.100409E+07 0.618242E+06
     1116.00  0.192490E+03 0.546277E+04 0.987515E+06 0.556220E+06
     1126.00  0.187148E+03 0.555194E+04 0.971093E+06 0.498205E+06
     1136.00  0.181925E+03 0.563917E+04 0.954828E+06 0.444070E+06
     1146.00  0.176819E+03 0.572445E+04 0.938722E+06 0.393688E+06
     1156.00  0.171828E+03 0.580774E+04 0.922776E+06 0.346938E+06
     1166.00  0.166950E+03 0.588902E+04 0.906990E+06 0.303700E+06
     1176.00  0.162184E+03 0.596827E+04 0.891367E+06 0.263854E+06
     1186.00  0.157527E+03 0.604546E+04 0.875906E+06 0.227286E+06
     1196.00  0.152977E+03 0.612059E+04 0.860609E+06 0.193882E+06
     1206.00  0.148533E+03 0.619363E+04 0.845475E+06 0.163531E+06
     1216.00  0.144192E+03 0.626457E+04 0.830507E+06 0.136124E+06
     1226.00  0.139954E+03 0.633340E+04 0.815704E+06 0.111556E+06
     1236.00  0.135816E+03 0.640012E+04 0.801067E+06 0.897211E+05
     1246.00  0.131776E+03 0.646472E+04 0.786598E+06 0.705181E+05
     1256.00  0.127832E+03 0.652720E+04 0.772295E+06 0.538470E+05
     1266.00  0.123984E+03 0.658755E+04 0.758160E+06 0.396103E+05
     1276.00  0.120228E+03 0.664576E+04 0.744193E+06 0.277124E+05
     1286.00  0.116564E+03 0.670185E+04 0.730393E+06 0.180600E+05
     1296.00  0.112990E+03 0.675580E+04 0.716760E+06 0.105621E+05
     1306.00  0.109503E+03 0.680763E+04 0.703295E+06 0.512950E+04
     1316.00  0.106103E+03 0.685733E+04 0.689997E+06 0.167525E+04
     1326.00  0.102788E+03 0.690492E+04 0.676866E+06 0.114425E+03
     1336.00  0.995553E+02 0.695040E+04 0.663903E+06 0.364100E+03
     1346.00  0.964044E+02 0.699378E+04 0.651107E+06 0.234337E+04
     1356.00  0.933334E+02 0.703507E+04 0.638478E+06 0.597332E+04
     1366.00  0.903407E+02 0.707428E+04 0.626015E+06 0.111770E+05
     1376.00  0.874248E+02 0.711141E+04 0.613717E+06 0.178793E+05
     1386.00  0.845841E+02 0.714649E+04 0.601584E+06 0.260070E+05
     1396.00  0.818171E+02 0.717952E+04 0.589615E+06 0.354890E+05
     1406.00  0.791225E+02 0.721052E+04 0.577811E+06 0.462556E+05
     1416.00  0.764986E+02 0.723951E+04 0.566169E+06 0.582394E+05
     1426.00  0.739443E+02 0.726650E+04 0.554691E+06 0.713745E+05
     1436.00  0.714579E+02 0.729152E+04 0.543375E+06 0.855968E+05
     1446.00  0.690382E+02 0.731458E+04 0.532221E+06 0.100844E+06
     1456.00  0.666837E+02 0.733569E+04 0.521227E+06 0.117056E+06
     1466.00  0.643931E+02 0.735489E+04 0.510393E+06 0.134172E+06
     1476.00  0.621651E+02 0.737218E+04 0.499718E+06 0.152137E+06
     1486.00  0.599983E+02 0.738760E+04 0.489200E+06 0.170895E+06
     1496.00  0.578915E+02 0.740116E+04 0.478840E+06 0.190390E+06
     1506.00  0.558434E+02 0.741288E+04 0.468637E+06 0.210572E+06
     1516.00  0.538527E+02 0.742280E+04 0.458589E+06 0.231389E+06
     1526.00  0.519183E+02 0.743094E+04 0.448696E+06 0.252792E+06
     1536.00  0.500389E+02 0.743731E+04 0.438956E+06 0.274732E+06
     1546.00  0.482133E+02 0.744196E+04 0.429369E+06 0.297165E+06
     1556.00  0.464403E+02 0.744489E+04 0.419933E+06 0.320045E+06
     1566.00  0.447188E+02 0.744615E+04 0.410647E+06 0.343327E+06
     1576.00  0.430476E+02 0.744574E+04 0.401511E+06 0.366971E+06
     1586.00  0.414257E+02 0.744370E+04 0.392522E+06 0.390936E+06
     1596.00  0.398518E+02 0.744005E+04 0.383681E+06 0.415182E+06
     1606.00  0.383249E+02 0.743483E+04 0.374985E+06 0.439671E+06
     1616.00  0.368440E+02 0.742806E+04 0.366433E+06 0.464367E+06
     1626.00  0.354080E+02 0.741976E+04 0.358025E+06 0.489235E+06
     1636.00  0.340158E+02 0.740997E+04 0.349759E+06 0.514239E+06
     1646.00  0.326665E+02 0.739872E+04 0.341633E+06 0.539348E+06
     1656.00  0.313590E+02 0.738602E+04 0.333647E+06 0.564529E+06
     1666.00  0.300923E+02 0.737191E+04 0.325799E+06 0.589751E+06
     1676.00  0.288656E+02 0.735641E+04 0.318088E+06 0.614987E+06
     1686.00  0.276777E+02 0.733956E+04 0.310512E+06 0.640206E+06
     1696.00  0.265278E+02 0.732137E+04 0.303071E+06 0.665381E+06
     1706.00  0.254150E+02 0.730188E+04 0.295761E+06 0.690487E+06
     1716.00  0.243384E+02 0.728112E+04 0.288584E+06 0.715499E+06
     1726.00  0.232971E+02 0.725911E+04 0.281536E+06 0.740392E+06
     1736.00  0.222902E+02 0.723588E+04 0.274617E+06 0.765144E+06
     1746.00  0.213168E+02 0.721147E+04 0.267825E+06 0.789732E+06
     1756.00  0.203762E+02 0.718589E+04 0.261159E+06 0.814136E+06
     1766.00  0.194675E+02 0.715918E+04 0.254617E+06 0.838335E+06
     1776.00  0.185899E+02 0.713137E+04 0.248199E+06 0.862311E+06
     1786.00  0.177426E+02 0.710248E+04 0.241902E+06 0.886043E+06
     1796.00  0.169248E+02 0.707253E+04 0.235725E+06 0.909516E+06
     1806.00  0.161358E+02 0.704156E+04 0.229667E+06 0.932713E+06
     1816.00  0.153748E+02 0.700960E+04 0.223726E+06 0.955617E+06
     1826.00  0.146411E+02 0.697667E+04 0.217902E+06 0.978215E+06
     1836.00  0.139339E+02 0.694280E+04 0.212192E+06 0.100049E+07
     1846.00  0.132526E+02 0.690802E+04 0.206595E+06 0.102243E+07
     1856.00  0.125965E+02 0.687235E+04 0.201109E+06 0.104403E+07
     1866.00  0.119649E+02 0.683583E+04 0.195735E+06 0.106527E+07
     1876.00  0.113571E+02 0.679848E+04 0.190469E+06 0.108614E+07
     1886.00  0.107724E+02 0.676032E+04 0.185310E+06 0.110662E+07
     1896.00  0.102103E+02 0.672138E+04 0.180257E+06 0.112672E+07
     1906.00  0.967009E+01 0.668168E+04 0.175309E+06 0.114642E+07
     1916.00  0.915117E+01 0.664126E+04 0.170465E+06 0.116571E+07
     1926.00  0.865294E+01 0.660013E+04 0.165722E+06 0.118459E+07
     1936.00  0.817481E+01 0.655833E+04 0.161079E+06 0.120304E+07
     1946.00  0.771620E+01 0.651588E+04 0.156535E+06 0.122107E+07
     1956.00  0.727656E+01 0.647280E+04 0.152089E+06 0.123866E+07
     1966.00  0.685533E+01 0.642912E+04 0.147739E+06 0.125581E+07
     1976.00  0.645196E+01 0.638485E+04 0.143483E+06 0.127252E+07
     1986.00  0.606593E+01 0.634004E+04 0.139321E+06 0.128877E+07
     1996.00  0.569672E+01 0.629469E+04 0.135251E+06 0.130457E+07
     2006.00  0.534382E+01 0.624882E+04 0.131272E+06 0.131992E+07
     2016.00  0.500674E+01 0.620248E+04 0.127382E+06 0.133480E+07
     2026.00  0.468499E+01 0.615566E+04 0.123579E+06 0.134922E+07
     2036.00  0.437810E+01 0.610840E+04 0.119863E+06 0.136317E+07
     2046.00  0.408561E+01 0.606073E+04 0.116232E+06 0.137666E+07
     2056.00  0.380706E+01 0.601265E+04 0.112685E+06 0.138968E+07
     2066.00  0.354201E+01 0.596419E+04 0.109220E+06 0.140223E+07
     2076.00  0.329002E+01 0.591538E+04 0.105837E+06 0.141432E+07
     2086.00  0.305069E+01 0.586624E+04 0.102533E+06 0.142593E+07
     2096.00  0.282359E+01 0.581677E+04 0.993078E+05 0.143707E+07
     2106.00  0.260831E+01 0.576702E+04 0.961598E+05 0.144775E+07
     2116.00  0.240447E+01 0.571698E+04 0.930878E+05 0.145796E+07
     2126.00  0.221169E+01 0.566669E+04 0.900903E+05 0.146770E+07
     2136.00  0.202958E+01 0.561616E+04 0.871663E+05 0.147697E+07
     2146.00  0.185778E+01 0.556541E+04 0.843144E+05 0.148579E+07
     2156.00  0.169593E+01 0.551446E+04 0.815334E+05 0.149414E+07
     2166.00  0.154369E+01 0.546332E+04 0.788220E+05 0.150203E+07
     2176.00  0.140071E+01 0.541202E+04 0.761791E+05 0.150947E+07
     2186.00  0.126667E+01 0.536058E+04 0.736034E+05 0.151645E+07
     2196.00  0.114123E+01 0.530901E+04 0.710938E+05 0.152299E+07
     2206.00  0.102409E+01 0.525732E+04 0.686491E+05 0.152908E+07
     2216.00  0.914935E+00 0.520554E+04 0.662680E+05 0.153473E+07
     2226.00  0.813467E+00 0.515368E+04 0.639494E+05 0.153994E+07
     2236.00  0.719393E+00 0.510176E+04 0.616922E+05 0.154471E+07
     2246.00  0.632430E+00 0.504978E+04 0.594951E+05 0.154906E+07
     2256.00  0.552301E+00 0.499778E+04 0.573572E+05 0.155297E+07
     2266.00  0.478735E+00 0.494575E+04 0.552772E+05 0.155647E+07
     2276.00  0.411471E+00 0.489372E+04 0.532541E+05 0.155955E+07
     2286.00  0.350252E+00 0.484171E+04 0.512867E+05 0.156222E+07
