#  H2 facteur FC   EF et X non couplé                                                         
#  VU JU VL JL      FC       TR.E.(cm-1)                                                
#       6320
  0 10  0 10  0.421708E-10  93999.57
  0 10  1 10  0.299364E-09  90146.59
  0 10  2 10  0.156464E-08  86522.96
  0 10  3 10  0.103303E-07  83126.36
  0 10  4 10  0.104714E-06  79955.93
  0 10  5 10  0.145913E-05  77014.17
  0 10  6 10  0.225444E-04  74306.03
  0 10  7 10  0.324587E-03  71840.27
  0 10  8 10  0.385726E-02  69630.58
  0 10  9 10  0.340429E-01  67696.86
  0 10 10 10  0.192877E+00  66067.70
  0 10 11 10  0.512135E+00  64786.75
  0 10 12 10  0.204674E+00  63925.78
  0 11  0 11  0.216831E-10  93029.87
  0 11  1 11  0.189569E-09  89234.78
  0 11  2 11  0.128362E-08  85668.32
  0 11  3 11  0.110023E-07  82328.07
  0 11  4 11  0.135757E-06  79214.42
  0 11  5 11  0.211878E-05  76330.22
  0 11  6 11  0.344671E-04  73681.30
  0 11  7 11  0.502568E-03  71277.79
  0 11  8 11  0.588709E-02  69134.86
  0 11  9 11  0.498058E-01  67274.25
  0 11 10 11  0.257426E+00  65729.20
  0 11 11 11  0.541962E+00  64549.75
  0 12  0 12  0.121788E-10  92006.11
  0 12  1 12  0.132386E-09  88273.28
  0 12  2 12  0.116069E-08  84767.57
  0 12  3 12  0.127291E-07  81487.94
  0 12  4 12  0.187604E-06  78435.24
  0 12  5 12  0.323392E-05  75612.95
  0 12  6 12  0.549098E-04  73028.35
  0 12  7 12  0.805987E-03  70692.40
  0 12  8 12  0.924903E-02  68622.68
  0 12  9 12  0.742215E-01  66843.49
  0 12 10 12  0.340797E+00  65392.73
  0 12 11 12  0.512119E+00  64331.61
  0 13  0 13  0.749592E-11  90934.85
  0 13  1 13  0.102178E-09  87267.61
  0 13  2 13  0.115721E-08  83826.57
  0 13  3 13  0.159833E-07  80611.59
  0 13  4 13  0.276012E-06  77624.06
  0 13  5 13  0.518157E-05  74868.45
  0 13  6 13  0.910219E-04  72352.85
  0 13  7 13  0.133649E-02  70090.45
  0 13  8 13  0.149185E-01  68100.22
  0 13  9 13  0.112032E+00  66411.03
  0 13 10 13  0.439577E+00  65067.06
  0 14  0 14  0.507685E-11  89822.99
  0 14  1 14  0.874113E-10  86224.51
  0 14  2 14  0.127245E-08  82851.86
  0 14  3 14  0.217454E-07  79705.34
  0 14  4 14  0.431489E-06  76787.03
  0 14  5 14  0.870006E-05  74102.22
  0 14  6 14  0.156746E-03  71660.69
  0 14  7 14  0.228730E-02  69477.30
  0 14  8 14  0.246311E-01  67574.43
  0 14  9 14  0.169973E+00  65984.88
  0 14 10 14  0.535785E+00  64762.88
  0 15  0 15  0.380141E-11  88675.61
  0 15  1 15  0.831155E-10  85149.69
  0 15  2 15  0.154224E-08  81849.00
  0 15  3 15  0.319686E-07  78774.28
  0 15  4 15  0.714840E-06  75928.96
  0 15  5 15  0.152771E-04  73319.63
  0 15  6 15  0.279962E-03  70957.43
  0 15  7 15  0.403265E-02  68859.61
  0 15  8 15  0.414773E-01  67051.58
  0 15  9 15  0.256284E+00  65573.36
  1  0  0  0  0.127430E-06  99363.92
  1  0  1  0  0.261498E-06  95202.78
  1  0  2  0  0.182085E-06  91276.99
  1  0  3  0  0.347492E-07  87581.56
  1  0  4  0  0.111412E-07  84113.61
  1  0  5  0  0.295457E-06  80872.00
  1  0  6  0  0.306896E-05  77858.14
  1  0  7  0  0.355593E-04  75076.01
  1  0  8  0  0.413749E-03  72532.76
  1  0  9  0  0.416175E-02  70239.83
  1  0 10  0  0.321229E-01  68213.45
  1  0 11  0  0.166076E+00  66476.79
  1  0 12  0  0.449615E+00  65061.72
  1  0 13  0  0.326403E+00  64012.56
  1  0 14  0  0.174183E-02  63390.54
  1  1  0  1  0.211587E-06  99257.67
  1  1  1  1  0.446130E-06  95102.42
  1  1  2  1  0.330436E-06  91182.36
  1  1  3  1  0.814143E-07  87492.66
  1  1  4  1  0.337200E-08  84030.36
  1  1  5  1  0.283207E-06  80794.46
  1  1  6  1  0.315523E-05  77786.35
  1  1  7  1  0.369935E-04  75010.03
  1  1  8  1  0.431560E-03  72472.99
  1  1  9  1  0.433642E-02  70186.53
  1  1 10  1  0.333389E-01  68167.24
  1  1 11  1  0.170988E+00  66438.37
  1  1 12  1  0.455162E+00  65032.24
  1  1 13  1  0.314862E+00  63993.86
  1  1 14  1  0.284049E-02  63385.65
  1  2  0  2  0.186399E-05  99046.30
  1  2  1  2  0.414628E-05  94902.83
  1  2  2  2  0.345426E-05  90994.36
  1  2  3  2  0.128020E-05  87315.99
