#  H2 facteur FC   EF et X non couplé                                                         
#  VU JU VL JL      FC       TR.E.(cm-1)                                                
#       11759
  0  5 12  3  0.478239E+00  64999.74
  0  5 13  7  0.195496E-01  63480.31
  0  5 13  3  0.262419E+00  64015.86
  0  5 14  3  0.923043E-02  63479.24
  0  6  0  8  0.198773E-08  95568.41
  0  6  0  4  0.123483E-08  98451.36
  0  6  1  8  0.627825E-08  91612.37
  0  6  1  4  0.460593E-08  94348.78
  0  6  2  8  0.115781E-07  87888.02
  0  6  2  4  0.899387E-08  90480.28
  0  6  3  8  0.252673E-07  84391.26
  0  6  3  4  0.166267E-07  86841.36
  0  6  4  8  0.113694E-06  81121.08
  0  6  4  4  0.516468E-07  83429.48
  0  6  5  8  0.103579E-05  78078.00
  0  6  5  4  0.341053E-06  80244.15
  0  6  6  8  0.131631E-04  75266.24
  0  6  6  4  0.368963E-05  77287.29
  0  6  7  8  0.174691E-03  72692.48
  0  6  7  4  0.470734E-04  74563.78
  0  6  8  8  0.203963E-02  70368.06
  0  6  8  4  0.572759E-03  72081.70
  0  6  9  8  0.185899E-01  68309.35
  0  6  9  4  0.580883E-02  69853.72
  0  6 10  8  0.116507E+00  66539.71
  0  6 10  4  0.438969E-01  67897.99
  0  6 11  8  0.402475E+00  65093.86
  0  6 11  4  0.213288E+00  66240.04
  0  6 12  8  0.424416E+00  64022.13
  0  6 12  4  0.494336E+00  64915.81
  0  6 13  4  0.212984E+00  63976.67
  0  7  0  9  0.727213E-09  94703.10
  0  7  0  5  0.409091E-09  97964.86
  0  7  1  9  0.271868E-08  90796.79
  0  7  1  5  0.178382E-08  93891.12
  0  7  2  9  0.661601E-08  87120.27
  0  7  2  5  0.438544E-08  90050.92
  0  7  3  9  0.208949E-07  83671.24
  0  7  3  5  0.110450E-07  86439.80
  0  7  4  9  0.128188E-06  80448.64
  0  7  4  5  0.462014E-07  83055.59
  0  7  5  9  0.137586E-05  77453.86
  0  7  5  5  0.364940E-06  79898.04
  0  7  6  9  0.187398E-04  74691.40
  0  7  6  5  0.428339E-05  76969.46
  0  7  7  9  0.254023E-03  72169.03
  0  7  7  5  0.565400E-04  74274.97
  0  7  8  9  0.294466E-02  69898.99
  0  7  8  5  0.694953E-03  71823.35
  0  7  9  9  0.260324E-01  67899.18
  0  7  9  5  0.701335E-02  69627.85
  0  7 10  9  0.153239E+00  66195.67
  0  7 10  5  0.519914E-01  67707.57
  0  7 11  9  0.462637E+00  64826.43
  0  7 11  5  0.242183E+00  66089.47
  0  7 12  9  0.324980E+00  63850.46
  0  7 12  5  0.508138E+00  64811.79
  0  7 13  5  0.151319E+00  63930.13
  0  8  0 10  0.300905E-09  93771.01
  0  8  0  6  0.151638E-09  97387.06
  0  8  1 10  0.135876E-08  89918.03
  0  8  1  6  0.780738E-09  93347.54
  0  8  2 10  0.439660E-08  86294.40
  0  8  2  6  0.242236E-08  89540.62
  0  8  3 10  0.194523E-07  82897.80
  0  8  3  6  0.813188E-08  85962.64
  0  8  4 10  0.155161E-06  79727.37
  0  8  4  6  0.440832E-07  82611.46
  0  8  5 10  0.191912E-05  76785.61
  0  8  5  6  0.408766E-06  79487.05
  0  8  6 10  0.277957E-04  74077.47
  0  8  6  6  0.519135E-05  76592.05
  0  8  7 10  0.383051E-03  71611.71
