z_km,mix_CH5+,mix_C3Hn+,mix_H3+
993,4.2489939595531446e-17,0.0,1.0
1003,2.380286286179593e-17,0.0,1.0
1013,1.3334363047130895e-17,0.0,1.0
1023,7.563607437973268e-18,0.0,1.0
1033,4.292046683322907e-18,0.0,1.0
1043,2.4236801256306908e-18,0.0,1.0
1053,1.3472958026919498e-18,0.0,1.0
1063,7.489461834321203e-19,0.0,1.0
1073,4.1726320829335556e-19,0.0,1.0
1083,2.3297811880959303e-19,0.0,1.0
1093,1.3008288956522858e-19,0.0,1.0
1103,7.269493610489066e-20,0.0,1.0
1113,4.0699505285309674e-20,0.0,1.0
1123,2.2786315240429515e-20,0.0,1.0
1133,1.2757308930328665e-20,0.0,1.0
1143,7.142397944845632e-21,0.0,1.0
1153,3.998793842896793e-21,0.0,1.0
1163,2.238793234634901e-21,0.0,1.0
1173,1.2534267442544125e-21,0.0,1.0
1183,7.017524347077489e-22,0.0,1.0
1193,3.9344484328962116e-22,0.0,1.0
1204,2.209761555064885e-22,0.0,1.0
1214,1.2411005541246743e-22,0.0,1.0
1224,6.98929843065884e-23,0.0,1.0
1234,3.9402339934307955e-23,0.0,1.0
1244,2.217596029470101e-23,0.0,1.0
1254,1.2403790745799605e-23,0.0,1.0
1264,6.937874293649587e-24,0.0,1.0
1274,3.938857388363892e-24,0.0,1.0
1284,2.23843682727691e-24,0.0,1.0
1294,1.2720946547877623e-24,0.0,1.0
1304,7.185760913368927e-25,0.0,1.0
1314,4.050990196000776e-25,0.0,1.0
1324,2.2798285357190605e-25,0.0,1.0
1334,1.276401060525247e-25,0.0,1.0
1344,7.146149992355374e-26,0.0,1.0
1354,4.02864089011585e-26,0.0,1.0
1364,2.309765626605186e-26,0.0,1.0
1374,1.32402308238087e-26,0.0,1.0
1384,7.497841113296692e-27,0.0,1.0
1394,4.2459698858989664e-27,0.0,1.0
1404,2.4044601638715446e-27,0.0,1.0
1414,1.363317160801373e-27,0.0,1.0
1424,7.736283177465317e-28,0.0,1.0
1434,4.390033304264607e-28,0.0,1.0
1444,2.5032398210262952e-28,0.0,1.0
1454,1.4283904539966969e-28,0.0,1.0
1464,8.150634517439676e-29,0.0,1.0
1474,4.618689078571425e-29,0.0,1.0
1484,2.615528182527908e-29,0.0,1.0
1494,1.4811535388552572e-29,0.0,1.0
1505,8.39630386059695e-30,0.0,1.0
1515,4.7645688162133995e-30,0.0,1.0
1525,2.7037034844541124e-30,0.0,1.0
1535,1.546453142295635e-30,0.0,1.0
1545,0.0,0.0,1.0
1555,0.0,0.0,1.0
1565,0.0,0.0,1.0
1575,0.0,0.0,1.0
1585,0.0,0.0,1.0
1595,0.0,0.0,1.0
1605,0.0,0.0,1.0
1615,0.0,0.0,1.0
1625,0.0,0.0,1.0
1635,0.0,0.0,1.0
1645,0.0,0.0,1.0
1655,0.0,0.0,1.0
1665,0.0,0.0,1.0
1675,0.0,0.0,1.0
1685,0.0,0.0,1.0
1695,0.0,0.0,1.0
1705,0.0,0.0,1.0
1715,0.0,0.0,1.0
1725,0.0,0.0,1.0
1735,0.0,0.0,1.0
1745,0.0,0.0,1.0
1755,0.0,0.0,1.0
1765,0.0,0.0,1.0
1775,0.0,0.0,1.0
1785,0.0,0.0,1.0
1795,0.0,0.0,1.0
1806,0.0,0.0,1.0
1816,0.0,0.0,1.0
1826,0.0,0.0,1.0
1836,0.0,0.0,1.0
1846,0.0,0.0,1.0
1856,0.0,0.0,1.0
1866,0.0,0.0,1.0
1876,0.0,0.0,1.0
1886,0.0,0.0,1.0
1896,0.0,0.0,1.0
1906,0.0,0.0,1.0
1916,0.0,0.0,1.0
1926,0.0,0.0,1.0
1936,0.0,0.0,1.0
