330.7352764	3321.754419
302.3566191	1723.722047
217.6017269	1325.888862
147.5132967	1635.592889
187.3817423	3151.922269
119.6525829	5763.466334
88.72621354	4551.134371
78.72340969	14065.27242
76.40413849	31726.67073
50.26882121	31726.67073
71.96856730	55047.89808
56.65611008	79484.94907
47.35051156	233088.7793
33.07352764	227052.0127
33.07352764	327845.7180
26.82695795	461123.9335
56.65611008	986965.5509
26.03660866	2538390.329
28.48035868	4891687.327
21.11909602	9426684.551
8.611224963	13611410.56
23.80254400	21828874.25
18.73817423	28378631.78
17.13034990	42066039.37
7.872340969	31519222.69
10.61632062	21828874.25
13.89495494	24244620.17
10.93858231	30702906.30
6.385498470	38881551.80
5.179474679	50547968.21
4.201231600	43184474.12
3.407748478	62355073.41
2.764129854	50547968.21
2.176017269	46721380.81
1.765034695	42066039.37
1.475132967	50547968.21
1.127062635	46721380.81
0.914195251	40976570.96
0.764041385	71097094.32
0.583759238	62355073.41
0.487878509	54687961.83
0.372759372	54687961.83
0.311534748	64012944.75
0.245250776	97410099.87
0.116127497	90035950.64
0.130882963	62355073.41
0.181861287	47963589.89
0.147513297	43184474.12
0.171303499	30702906.30
0.119652583	22409251.48
0.231012970	22409251.48
0.204969061	18648988.05
0.268269580	12915496.65
0.340774848	13611410.56
0.432876128	15117750.71
0.517947468	9934613.988
0.835752957	10469911.72
0.657933225	4404277.187
1.000000000	4070864.150
1.196525829	5155261.649
1.566048453	2408609.427
2.452507757	1668100.537
3.115347476	525772.3230
1.873817423	498891.0329
