# p_bar (bar) z (km) T (K) nH2 (cm-3) nHe (cm-3) nH (cm-3) nCH4 (cm-3) nC2H2 (cm-3) nC2H4 (cm-3) nC2H6 (cm-3)
1.288904e-01   44.03  163.48 7.520888e+17 1.210201e+17 1.203015e+06 1.696767e+15 4.378220e+09 5.707929e+11 6.379861e+07
1.219473e-01   45.23  163.48 7.155620e+17 1.147006e+17 1.267342e+06 1.612908e+15 4.400629e+09 5.522431e+11 5.927353e+07
1.153783e-01   46.43  163.48 6.790352e+17 1.083811e+17 1.331669e+06 1.529050e+15 4.423037e+09 5.336933e+11 5.474845e+07
1.091632e-01   47.64  163.48 6.425085e+17 1.020615e+17 1.395996e+06 1.445191e+15 4.445446e+09 5.151434e+11 5.022337e+07
1.032828e-01   48.84  163.48 6.059817e+17 9.574201e+16 1.460323e+06 1.361333e+15 4.467854e+09 4.965936e+11 4.569829e+07
9.771921e-02   50.04  163.48 5.698394e+17 8.949329e+16 1.525726e+06 1.278370e+15 4.487731e+09 4.781551e+11 4.123054e+07
9.245531e-02   51.24  163.48 5.459280e+17 8.549746e+16 1.625344e+06 1.223910e+15 4.427038e+09 4.632593e+11 3.858667e+07
8.747496e-02   52.45  163.48 5.220166e+17 8.150164e+16 1.724963e+06 1.169449e+15 4.366346e+09 4.483635e+11 3.594281e+07
8.276289e-02   53.65  163.48 4.981052e+17 7.750581e+16 1.824581e+06 1.114988e+15 4.305653e+09 4.334678e+11 3.329895e+07
7.830465e-02   54.86  163.48 4.741939e+17 7.350998e+16 1.924200e+06 1.060527e+15 4.244961e+09 4.185720e+11 3.065508e+07
7.408657e-02   56.06  163.48 4.502825e+17 6.951416e+16 2.023818e+06 1.006067e+15 4.184268e+09 4.036762e+11 2.801122e+07
7.009570e-02   57.27  163.48 4.263711e+17 6.551833e+16 2.123437e+06 9.516060e+14 4.123576e+09 3.887804e+11 2.536736e+07
6.631981e-02   58.47  163.48 4.024598e+17 6.152251e+16 2.223055e+06 8.971452e+14 4.062884e+09 3.738847e+11 2.272350e+07
6.274732e-02   59.68  163.48 3.785484e+17 5.752668e+16 2.322674e+06 8.426844e+14 4.002191e+09 3.589889e+11 2.007963e+07
5.936727e-02   60.88  163.48 3.606809e+17 5.460614e+16 2.462275e+06 8.022550e+14 3.910324e+09 3.457532e+11 1.915009e+07
5.616930e-02   62.09  163.48 3.450291e+17 5.207979e+16 2.616535e+06 7.669694e+14 3.807027e+09 3.331262e+11 1.884902e+07
5.314359e-02   63.30  163.48 3.293774e+17 4.955344e+16 2.770794e+06 7.316838e+14 3.703731e+09 3.204991e+11 1.854795e+07
5.028087e-02   64.51  163.48 3.137256e+17 4.702709e+16 2.925054e+06 6.963981e+14 3.600435e+09 3.078721e+11 1.824688e+07
4.757236e-02   65.72  163.48 2.980738e+17 4.450074e+16 3.079313e+06 6.611125e+14 3.497139e+09 2.952451e+11 1.794581e+07
4.500975e-02   66.93  163.48 2.824220e+17 4.197439e+16 3.233573e+06 6.258269e+14 3.393842e+09 2.826180e+11 1.764474e+07
4.258518e-02   68.14  163.48 2.667703e+17 3.944804e+16 3.387832e+06 5.905413e+14 3.290546e+09 2.699910e+11 1.734367e+07
4.029122e-02   69.35  163.48 2.511185e+17 3.692169e+16 3.542092e+06 5.552557e+14 3.187250e+09 2.573639e+11 1.704260e+07
3.812083e-02   70.56  163.48 2.379698e+17 3.482547e+16 3.735510e+06 5.256902e+14 3.078672e+09 2.463836e+11 1.755273e+07
