0.002222996, 5617.179528705113
0.002329952, 911.0402659680987
0.002222996, 103.61300233488392
0.002120951, 8.638059376211965
0.002120951, 1.3401938789527565
0.002120951, 0.4621041666053208
0.001757511, 0.13947895037913827
0.001526418,0.054939461
0.001206793,0.027014643
0.000954095, 0.016582621162300436
0.000686649,0.009737317
0.000409492,0.005977138
0.000212095,0.003357466
0.000104811,0.00225217
4.71487E-05,0.001445183
1.52642E-05,0.000811785
7.19686E-06,0.00052091
1.84207E-06,0.000319755
5.963623316594636e-7,0.00022422
1.3257113655901053e-7,0.000143879
4.094915062380419e-8,0.000100891
6.866488450042998e-9,7.07475E-05
1.2648552168552906e-9,4.7457E-05
2.0235896477251556e-10,3.32781E-05
2.5595479226995332e-11,2.33354E-05
4.094915062380419e-12,1.63634E-05
5.179474679231202e-13,1.14744E-05
4.498432668969453e-14,7.69697E-06
4.9417133613238385e-15,5.39731E-06
5.42867543932386e-16,3.95642E-06
1.0481131341546874e-16,2.9002E-06
